designation,source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ruwe,phot_g_mean_mag,visibility_periods_used,astrometric_sigma5d_max,astrometric_gof_al,parallax_over_error
Gaia DR3 2020079872747132288,2020079872747132288,295.7317503857957,23.21534925637772,0.01541925,0.017281763,0.4893404714298107,0.025065567,-2.0241013457503514,0.017706929,-5.23374445608971,0.023076497,-0.12928978,-0.046064563,-0.78498197,0.05880417,0.08305879,0.112617604,-0.36555558,-0.026419824,-0.31467986,0.0048932387,0.96591574,15.079988,23,0.033349797,-1.359763,19.522417
Gaia DR3 2020088462681646720,2020088462681646720,295.9105555833831,23.352748190267764,0.020586023,0.027486775,0.41331989207725583,0.038107343,-2.074923793058832,0.023334537,-5.330553783835762,0.036573187,-0.024024135,0.052738257,-0.72277045,-0.039247278,-0.086763576,0.031224966,-0.31992018,-0.13329305,-0.2094972,0.115729526,1.2869139,15.5792465,24,0.05215164,11.663658,10.846201
Gaia DR3 2020089012437563008,2020089012437563008,295.7297454008335,23.272324462007074,0.009504839,0.011587549,0.48250530845252126,0.018754069,-1.7322380875991539,0.010851514,-5.49414295019017,0.016591376,-0.11429338,0.026742253,-0.7846384,0.012410548,0.044717167,0.09771481,-0.33789456,-0.115322925,-0.46843833,0.07079492,1.0035127,13.835774,20,0.024389222,0.15717147,25.728033
Gaia DR3 2020089596553159680,2020089596553159680,295.7840490313597,23.324215635159284,0.013001897,0.015813736,0.4793319652734692,0.022107888,-1.7006301707951925,0.014647346,-5.337534847526742,0.020479932,-0.11097353,-0.04117935,-0.7730668,0.081314124,0.09274246,0.11607562,-0.36435184,-0.04898465,-0.29135707,0.0048462525,1.009818,14.780337,23,0.029580375,0.4164166,21.68149
Gaia DR3 2020090451234966016,2020090451234966016,295.7430703477601,23.337668646371746,0.018610025,0.024319319,0.4414992775570073,0.031963374,-1.805277438512357,0.02128381,-5.401319255960692,0.033115935,-0.026059883,0.007769295,-0.72436786,0.014415746,0.027010135,0.03893366,-0.37665516,-0.1126301,-0.2525845,0.07466792,1.77749,11.44289,24,0.047421765,28.285347,13.812661
Gaia DR3 2020084786193238656,2020084786193238656,295.8460593999185,23.210776434714248,0.013825747,0.016223747,0.4238631149252964,0.02322669,-1.627333682784191,0.01600079,-5.60063984116246,0.021365846,-0.2253225,-0.068641275,-0.7311485,0.09782133,-0.030939823,0.172206,-0.25820243,0.052282564,-0.23076388,-0.09830323,1.6597608,11.369609,24,0.030660354,24.751162,18.248968
Gaia DR3 2020089214284871040,2020089214284871040,295.74826038998367,23.296311621556555,0.009119837,0.011978971,0.4725466639857487,0.016506089,-1.6687681115375237,0.010370028,-5.106829025418885,0.015734384,-0.11019677,0.029569698,-0.77478737,0.018845934,-0.04016734,0.08731859,-0.4433053,-0.09355271,-0.24868332,0.038948532,0.97783804,13.777248,22,0.022771629,-0.8714175,28.628626
Gaia DR3 2020089252955763328,2020089252955763328,295.76142426236333,23.307418091629973,0.047399275,0.05424202,0.4119297313348135,0.080812536,-1.7818804213226733,0.056736033,-5.274898640031903,0.076981716,-0.083150245,-0.021172766,-0.70361406,-0.017878516,0.09220485,0.013603075,-0.25581157,-0.0084102275,-0.3222847,0.019027123,2.8888538,15.369948,23,0.1096485,57.85929,5.097349
Gaia DR3 2020089390394715392,2020089390394715392,295.7982526742486,23.307303299381466,0.013526169,0.016198149,0.4471321031852916,0.021853376,-1.6711020694557757,0.015614597,-5.453042495330607,0.021490157,-0.09688553,0.02339486,-0.7742736,0.023998018,0.011057393,0.08420638,-0.39643976,-0.09545423,-0.23437333,0.03605551,0.98172,14.822411,24,0.030854357,-0.7297897,20.46055
Gaia DR3 2020086263658488704,2020086263658488704,295.81090790720276,23.267038976899634,0.01729461,0.02068622,0.37612137192247197,0.028088218,-1.6699205850670888,0.019932542,-5.3590612840907,0.027338795,-0.15720136,-0.03274413,-0.7426674,0.10945416,-0.071589686,0.1524739,-0.3396862,-0.033774123,-0.17915078,-0.05377758,1.7351204,11.472155,24,0.03907697,27.0666,13.390717
